List,dec
r31,50.0%
r7,0.0%
r10,20.0%
r21,75.0%
r34,20.0%
r4,0.0%
r33,100.0%
r12,3.3%
r13,85.7%
r6,91.4%
r29,7.7%
r3,13.3%
r24,10.0%
r32,96.7%
r16,6.7%
r28,97.8%
r25,46.7%
r23,5.6%
r18,10.0%
r11,20.0%
r27,96.0%
r5,25.0%
r17,6.7%
r19,0.0%
r8,76.7%
r1,63.3%
r30,3.3%
r22,4.8%
r26,0.0%
r9,0.0%
r14,6.7%
r2,0.0%
r20,2.5%
r15,0.0%
Total,31.2%
