List,dec
c12,43.3%
c13,97.1%
c18,16.7%
c21,5.3%
c6,91.4%
c3,13.3%
c1,0.0%
c23,28.9%
c5,5.0%
c17,26.7%
c11,31.1%
c2,30.0%
c7,76.7%
c16,3.3%
c15,3.3%
c10,20.0%
c20,2.6%
c14,24.4%
c9,81.8%
c19,0.0%
c22,0.0%
c8,63.3%
c4,20.0%
Total,30.3%
