List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,25.7%,25.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,94.3%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,12.5%,5.0%
r32,76.7%,0.0%
r16,30.0%,36.7%
r28,73.3%,97.8%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,30.0%,3.3%
r11,42.2%,42.2%
r27,96.0%,0.0%
r5,0.0%,0.0%
r17,10.0%,26.7%
r19,0.0%,0.0%
r8,0.0%,70.0%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,2.4%,0.0%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,0.0%,31.1%
r2,100.0%,97.5%
r20,27.5%,42.5%
r15,0.0%,0.0%
Total,41.3%,44.8%
