List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,57.1%,34.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,15.0%,5.0%
r32,0.0%,76.7%
r16,33.3%,33.3%
r28,73.3%,73.3%
r25,83.3%,6.7%
r23,0.0%,11.1%
r18,20.0%,26.7%
r11,73.3%,17.8%
r27,96.0%,100.0%
r5,0.0%,0.0%
r17,13.3%,33.3%
r19,0.0%,0.0%
r8,76.7%,76.7%
r1,0.0%,0.0%
r30,0.0%,16.7%
r22,2.4%,0.0%
r26,0.0%,0.0%
r9,0.0%,0.0%
r14,26.7%,0.0%
r2,95.0%,95.0%
r20,20.0%,0.0%
r15,70.0%,0.0%
Total,45.4%,39.1%
