List,gaussian_mixture,kmeans
r31,0.0%,100.0%
r7,76.7%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,2.5%,0.0%
r32,76.7%,0.0%
r16,36.7%,36.7%
r28,71.1%,71.1%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,26.7%
r11,17.8%,55.6%
r27,96.0%,100.0%
r5,5.0%,0.0%
r17,16.7%,23.3%
r19,0.0%,0.0%
r8,83.3%,76.7%
r1,0.0%,70.0%
r30,0.0%,0.0%
r22,0.0%,2.4%
r26,60.0%,60.0%
r9,0.0%,100.0%
r14,8.9%,0.0%
r2,95.0%,95.0%
r20,0.0%,20.0%
r15,90.0%,90.0%
Total,44.1%,46.6%
