List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,100.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,25.7%,25.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,97.1%
r6,97.1%,97.1%
r29,96.2%,100.0%
r3,0.0%,0.0%
r24,5.0%,0.0%
r32,76.7%,76.7%
r16,46.7%,36.7%
r28,73.3%,73.3%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,6.7%,6.7%
r11,73.3%,31.1%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,33.3%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,0.0%,0.0%
r30,0.0%,0.0%
r22,0.0%,4.8%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,31.1%,0.0%
r2,95.0%,95.0%
r20,47.5%,45.0%
r15,90.0%,90.0%
Total,50.8%,49.5%
