List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,13.3%
open_with,86.7%
text_empty,20.0%
share_with,1.9%
list+on_off,0.0%
advertisement+button,85.0%
image_list,35.6%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,20.0%
camera,47.5%
picture,0.0%
popup,10.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,0.0%
calendar,86.7%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,26.4%
