List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,23.3%
open_with,0.0%
text_empty,0.0%
share_with,94.2%
list+on_off,0.0%
advertisement+button,25.0%
image_list,88.9%
popup_date,0.0%
movie,20.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,0.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,0.0%
camera,0.0%
picture,0.0%
popup,0.0%
navigation_menu,0.0%
input_form,33.3%
select_dialog,0.0%
calendar,0.0%
text_image,0.0%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,12.8%
