List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,16.7%
open_with,2.2%
text_empty,20.0%
share_with,94.2%
list+on_off,91.4%
advertisement+button,25.0%
image_list,28.9%
popup_date,33.3%
movie,26.7%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,2.5%
camera,2.5%
picture,93.3%
popup,3.3%
navigation_menu,13.3%
input_form,16.7%
select_dialog,3.3%
calendar,83.3%
text_image,10.0%
continue_button,0.0%
theme,18.2%
homescreen,20.0%
Total,24.1%
