List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,3.3%
open_with,0.0%
text_empty,13.3%
share_with,94.2%
list+on_off,68.6%
advertisement+button,60.0%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,25.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,55.0%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,8.9%
input_form,6.7%
select_dialog,43.3%
calendar,90.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,29.3%
