List,dec
text+button,16.7%
popup_with_access,76.7%
text_only,36.7%
open_with,17.8%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,85.0%
image_list,2.2%
popup_date,33.3%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,5.0%
camera,32.5%
picture,0.0%
popup,26.7%
navigation_menu,2.2%
input_form,10.0%
select_dialog,13.3%
calendar,3.3%
text_image,6.7%
continue_button,7.1%
theme,18.2%
homescreen,0.0%
Total,26.0%
