List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,10.0%
open_with,48.9%
text_empty,3.3%
share_with,73.1%
list+on_off,91.4%
advertisement+button,0.0%
image_list,55.6%
popup_date,33.3%
movie,0.0%
menu_list,82.9%
translate_with_sound,94.1%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,32.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,85.7%
list,0.0%
camera,50.0%
picture,0.0%
popup,0.0%
navigation_menu,4.4%
input_form,0.0%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,4.5%
homescreen,0.0%
Total,24.4%
