List,dec
text+button,27.8%
popup_with_access,0.0%
text_only,3.3%
open_with,51.1%
text_empty,0.0%
share_with,80.8%
list+on_off,88.6%
advertisement+button,2.5%
image_list,66.7%
popup_date,16.7%
movie,60.0%
menu_list,17.1%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,80.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,80.0%
popup_with_continue_as_name,77.1%
list,5.0%
camera,57.5%
picture,0.0%
popup,20.0%
navigation_menu,4.4%
input_form,6.7%
select_dialog,63.3%
calendar,56.7%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,33.4%
