List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,5.7%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,10.0%
location_selection,60.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,11.4%
list,25.0%
camera,12.5%
picture,26.7%
popup,10.0%
navigation_menu,11.1%
input_form,40.0%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,28.7%
