List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,30.0%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,20.0%
advertisement+button,67.5%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,11.4%
translate_with_sound,0.0%
IME,30.0%
dialer,13.3%
translate,92.0%
image_view,22.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,22.9%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,0.0%
camera,57.5%
picture,53.3%
popup,33.3%
navigation_menu,22.2%
input_form,0.0%
select_dialog,53.3%
calendar,3.3%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,34.9%
