List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,10.0%
open_with,82.2%
text_empty,3.3%
share_with,1.9%
list+on_off,0.0%
advertisement+button,92.5%
image_list,40.0%
popup_date,50.0%
movie,43.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,45.0%
camera,57.5%
picture,53.3%
popup,3.3%
navigation_menu,31.1%
input_form,3.3%
select_dialog,3.3%
calendar,86.7%
text_image,6.7%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,24.7%
