List,dec
text+button,0.0%
popup_with_access,76.7%
text_only,20.0%
open_with,24.4%
text_empty,3.3%
share_with,75.0%
list+on_off,71.4%
advertisement+button,40.0%
image_list,20.0%
popup_date,0.0%
movie,10.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,33.3%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,80.0%
popup_with_continue_as_name,71.4%
list,25.0%
camera,12.5%
picture,40.0%
popup,0.0%
navigation_menu,0.0%
input_form,40.0%
select_dialog,63.3%
calendar,36.7%
text_image,3.3%
continue_button,0.0%
theme,9.1%
homescreen,0.0%
Total,29.2%
