List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,23.3%
open_with,0.0%
text_empty,36.7%
share_with,94.2%
list+on_off,37.1%
advertisement+button,85.0%
image_list,2.2%
popup_date,16.7%
movie,63.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,80.0%
popup_with_continue_as_name,77.1%
list,2.5%
camera,0.0%
picture,53.3%
popup,3.3%
navigation_menu,6.7%
input_form,6.7%
select_dialog,23.3%
calendar,56.7%
text_image,3.3%
continue_button,2.4%
theme,95.5%
homescreen,20.0%
Total,32.7%
