List,dec
c12,3.3%
c13,2.9%
c18,13.3%
c21,2.6%
c6,2.9%
c3,26.7%
c1,0.0%
c23,15.8%
c5,2.5%
c17,23.3%
c11,4.4%
c2,92.5%
c7,100.0%
c16,6.7%
c15,96.7%
c10,0.0%
c20,42.1%
c14,4.4%
c9,0.0%
c19,0.0%
c22,97.3%
c8,80.0%
c4,10.0%
Total,29.3%
