List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,0.0%
text_empty,13.3%
share_with,94.2%
list+on_off,42.9%
advertisement+button,85.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,80.0%
translate_with_sound,29.4%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,12.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,25.7%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,2.5%
camera,0.0%
picture,0.0%
popup,6.7%
navigation_menu,4.4%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,3.3%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,33.8%
