List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,6.7%
open_with,35.6%
text_empty,23.3%
share_with,80.8%
list+on_off,94.3%
advertisement+button,2.5%
image_list,15.6%
popup_date,16.7%
movie,26.7%
menu_list,0.0%
translate_with_sound,94.1%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,34.3%
pinpoint_location,6.7%
popup_with_continue_as_name,82.9%
list,52.5%
camera,0.0%
picture,6.7%
popup,16.7%
navigation_menu,24.4%
input_form,10.0%
select_dialog,43.3%
calendar,16.7%
text_image,10.0%
continue_button,4.8%
theme,77.3%
homescreen,40.0%
Total,29.2%
