List,dec
text+button,0.0%
popup_with_access,3.3%
text_only,23.3%
open_with,33.3%
text_empty,30.0%
share_with,94.2%
list+on_off,88.6%
advertisement+button,27.5%
image_list,28.9%
popup_date,0.0%
movie,6.7%
menu_list,85.7%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,7.5%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,2.5%
camera,92.5%
picture,53.3%
popup,3.3%
navigation_menu,8.9%
input_form,36.7%
select_dialog,83.3%
calendar,3.3%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.9%
