List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,33.3%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,34.3%
advertisement+button,77.5%
image_list,15.6%
popup_date,16.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,20.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,20.0%
pinpoint_location,36.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,8.9%
input_form,33.3%
select_dialog,36.7%
calendar,6.7%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,23.1%
