List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,36.7%
open_with,86.7%
text_empty,20.0%
share_with,1.9%
list+on_off,91.4%
advertisement+button,87.5%
image_list,64.4%
popup_date,33.3%
movie,6.7%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,25.0%
camera,2.5%
picture,93.3%
popup,20.0%
navigation_menu,62.2%
input_form,16.7%
select_dialog,26.7%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,30.6%
