List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,23.3%
open_with,66.7%
text_empty,6.7%
share_with,0.0%
list+on_off,54.3%
advertisement+button,85.0%
image_list,0.0%
popup_date,0.0%
movie,63.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,71.4%
list,77.5%
camera,57.5%
picture,53.3%
popup,3.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,50.0%
calendar,3.3%
text_image,6.7%
continue_button,26.2%
theme,95.5%
homescreen,20.0%
Total,35.5%
