List,dec
c12,10.0%
c13,2.9%
c18,6.7%
c21,5.3%
c6,14.3%
c3,13.3%
c1,53.3%
c23,5.3%
c5,12.5%
c17,3.3%
c11,17.8%
c2,95.0%
c7,0.0%
c16,3.3%
c15,13.3%
c10,20.0%
c20,5.3%
c14,4.4%
c9,81.8%
c19,0.0%
c22,100.0%
c8,3.3%
c4,10.0%
Total,21.7%
