List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,20.0%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,64.4%
popup_date,0.0%
movie,33.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,0.0%
camera,12.5%
picture,53.3%
popup,0.0%
navigation_menu,31.1%
input_form,33.3%
select_dialog,56.7%
calendar,90.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,34.2%
