List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,40.0%
open_with,55.6%
text_empty,6.7%
share_with,84.6%
list+on_off,0.0%
advertisement+button,90.0%
image_list,4.4%
popup_date,0.0%
movie,16.7%
menu_list,37.1%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,66.7%
popup_with_continue_as_name,80.0%
list,37.5%
camera,2.5%
picture,6.7%
popup,6.7%
navigation_menu,20.0%
input_form,13.3%
select_dialog,6.7%
calendar,43.3%
text_image,16.7%
continue_button,9.5%
theme,0.0%
homescreen,40.0%
Total,29.6%
