List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,36.7%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,68.6%
advertisement+button,60.0%
image_list,66.7%
popup_date,0.0%
movie,30.0%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,20.0%
translate,0.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,20.0%
pinpoint_location,76.7%
popup_with_continue_as_name,68.6%
list,65.0%
camera,0.0%
picture,6.7%
popup,23.3%
navigation_menu,20.0%
input_form,0.0%
select_dialog,16.7%
calendar,90.0%
text_image,6.7%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.9%
