List,dec
text+button,0.0%
popup_with_access,80.0%
text_only,23.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,37.1%
advertisement+button,85.0%
image_list,0.0%
popup_date,16.7%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,7.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,0.0%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,8.9%
input_form,6.7%
select_dialog,46.7%
calendar,63.3%
text_image,6.7%
continue_button,2.4%
theme,95.5%
homescreen,0.0%
Total,29.5%
