List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,73.3%
open_with,0.0%
text_empty,23.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,2.5%
image_list,0.0%
popup_date,16.7%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,6.7%
popup_with_continue_as_name,2.9%
list,10.0%
camera,92.5%
picture,40.0%
popup,10.0%
navigation_menu,17.8%
input_form,33.3%
select_dialog,36.7%
calendar,0.0%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,23.7%
