List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,3.3%
open_with,80.0%
text_empty,30.0%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,55.6%
popup_date,83.3%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,13.3%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,62.5%
camera,0.0%
picture,0.0%
popup,16.7%
navigation_menu,2.2%
input_form,36.7%
select_dialog,36.7%
calendar,0.0%
text_image,10.0%
continue_button,2.4%
theme,77.3%
homescreen,20.0%
Total,33.9%
