List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,63.3%
open_with,4.4%
text_empty,20.0%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,2.2%
popup_date,50.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,25.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,5.0%
camera,57.5%
picture,0.0%
popup,33.3%
navigation_menu,15.6%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,10.0%
continue_button,2.4%
theme,77.3%
homescreen,0.0%
Total,28.9%
