List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,16.7%
open_with,60.0%
text_empty,20.0%
share_with,65.4%
list+on_off,91.4%
advertisement+button,25.0%
image_list,4.4%
popup_date,33.3%
movie,40.0%
menu_list,42.9%
translate_with_sound,70.6%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,2.5%
camera,92.5%
picture,93.3%
popup,3.3%
navigation_menu,13.3%
input_form,6.7%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,28.3%
