name,0,1,2,3,4,5,6,7,8,9,Mean_ag,Std_ag
rico,0.272,,,,,,,,,,0.272,0.0
seq2seq,0.315,0.272,0.326,0.324,0.286,0.277,0.313,0.255,0.312,0.359,0.3039,0.029415812074460902
tree,0.37,0.398,0.372,0.39,0.379,0.407,0.393,0.394,0.398,0.372,0.3873000000000001,0.012402015965156634
conv_se,0.316,0.337,0.289,0.281,0.351,0.358,0.349,0.336,0.329,0.337,0.3283,0.024433788081261565
conv_re,0.243,0.146,0.229,0.233,0.212,0.207,0.244,0.203,0.166,0.239,0.2122,0.03165691077790125
rico_seq2seq_add,0.324,0.322,0.351,0.323,0.331,0.324,0.312,0.314,0.333,0.373,0.33070000000000005,0.017493141513175953
rico_seq2seq_cat,0.38,0.322,0.379,0.309,0.323,0.333,0.321,0.314,0.367,0.367,0.3415,0.02686354406998451
rico_tree_add,0.397,0.434,0.5,0.441,0.45,0.425,0.447,0.493,0.402,0.394,0.4383,0.034928641542436197
rico_tree_cat,0.373,0.444,0.473,0.377,0.413,0.45,0.471,0.445,0.48,0.429,0.43550000000000005,0.03591169725869274
conv_re_conv_se_add,0.327,0.245,0.299,0.307,0.295,0.247,0.271,0.311,0.277,0.318,0.28969999999999996,0.0271884166512138
conv_re_conv_se_cat,0.326,0.257,0.315,0.282,0.298,0.243,0.3,0.311,0.293,0.299,0.2924,0.024331872102244825
rico_conv_se_add,0.373,0.344,0.346,0.28,0.368,0.35,0.357,0.366,0.311,0.345,0.34400000000000003,0.0270111088258146
rico_conv_se_cat,0.373,0.344,0.371,0.301,0.334,0.36,0.357,0.366,0.324,0.345,0.34750000000000003,0.02169446934128604
seq2seq_conv_se_add,0.374,0.374,0.313,0.26,0.324,0.332,0.366,0.29,0.309,0.389,0.33310000000000006,0.039778008999948704
seq2seq_conv_se_cat,0.373,0.362,0.346,0.28,0.36,0.315,0.357,0.366,0.324,0.345,0.3428,0.02720588171701111
tree_conv_se_add,0.373,0.331,0.371,0.272,0.356,0.348,0.366,0.366,0.312,0.371,0.34659999999999996,0.031203204963593075
tree_conv_se_cat,0.373,0.347,0.346,0.264,0.36,0.315,0.357,0.366,0.324,0.345,0.3397,0.03036461756716194
rico_conv_re_add,0.238,0.154,0.223,0.253,0.163,0.164,0.234,0.18,0.222,0.182,0.20129999999999998,0.034511012735067625
rico_conv_re_cat,0.234,0.133,0.217,0.226,0.164,0.164,0.234,0.247,0.236,0.182,0.2037,0.037483463020377396
seq2seq_conv_re_add,0.233,0.155,0.22,0.208,0.16,0.164,0.232,0.237,0.143,0.196,0.1948,0.034440673628719866
seq2seq_conv_re_cat,0.234,0.133,0.253,0.213,0.164,0.164,0.234,0.235,0.236,0.243,0.2109,0.0394371652125251
tree_conv_re_add,0.234,0.121,0.258,0.254,0.226,0.164,0.233,0.248,0.212,0.182,0.2132,0.042151631047920315
tree_conv_re_cat,0.234,0.133,0.251,0.259,0.164,0.164,0.234,0.181,0.237,0.182,0.20389999999999997,0.04168560902757689
rico_seq2seq_add_0.1,0.332,0.304,0.322,0.299,0.279,0.287,0.299,0.267,0.33,0.362,0.3081,0.027042374156127636
rico_seq2seq_add_0.2,0.334,0.26,0.316,0.319,0.287,0.303,0.293,0.272,0.321,0.354,0.30590000000000006,0.027189887826175374
rico_seq2seq_add_0.3,0.325,0.261,0.3,0.293,0.292,0.281,0.31,0.289,0.303,0.36,0.3014,0.025358233376952737
rico_seq2seq_add_0.4,0.332,0.295,0.316,0.313,0.306,0.312,0.321,0.323,0.323,0.36,0.3201,0.016470883400716552
rico_seq2seq_add_0.5,0.324,0.322,0.351,0.323,0.331,0.324,0.312,0.314,0.333,0.373,0.33070000000000005,0.017493141513175953
rico_seq2seq_add_0.6,0.361,0.338,0.354,0.383,0.362,0.368,0.393,0.351,0.378,0.331,0.3619,0.018484858668650947
rico_seq2seq_add_0.7,0.36,0.357,0.406,0.336,0.358,0.304,0.342,0.378,0.401,0.427,0.3669,0.03490401123080269
rico_seq2seq_add_0.8,0.356,0.339,0.373,0.32,0.352,0.363,0.348,0.37,0.325,0.352,0.3498,0.01670808187674455
rico_seq2seq_add_0.9,0.341,0.306,0.299,0.281,0.257,0.216,0.273,0.336,0.299,0.315,0.29229999999999995,0.035555730902345414
rico_seq2seq_cat_0.1,0.293,0.29,0.302,0.303,0.276,0.284,0.277,0.311,0.333,0.324,0.2993,0.018177183500201567
rico_seq2seq_cat_0.2,0.318,0.308,0.321,0.316,0.285,0.279,0.304,0.298,0.33,0.351,0.311,0.020154403985233597
rico_seq2seq_cat_0.3,0.321,0.307,0.323,0.321,0.264,0.298,0.3,0.273,0.32,0.323,0.305,0.02041568024827975
rico_seq2seq_cat_0.4,0.312,0.294,0.316,0.311,0.303,0.293,0.298,0.288,0.335,0.399,0.31489999999999996,0.030933638647918562
rico_seq2seq_cat_0.5,0.38,0.322,0.379,0.309,0.323,0.333,0.321,0.314,0.367,0.367,0.3415,0.02686354406998451
rico_seq2seq_cat_0.6,0.398,0.346,0.352,0.411,0.408,0.338,0.354,0.347,0.398,0.431,0.3783,0.032301857531727186
rico_seq2seq_cat_0.7,0.4,0.398,0.407,0.4,0.325,0.369,0.375,0.392,0.416,0.414,0.3896,0.025881267356912794
rico_seq2seq_cat_0.8,0.346,0.34,0.329,0.323,0.334,0.354,0.322,0.338,0.319,0.363,0.3368,0.013687950905814929
rico_seq2seq_cat_0.9,0.247,0.321,0.28,0.256,0.321,0.241,0.259,0.276,0.281,0.279,0.27609999999999996,0.0261818639519802
rico_tree_add_0.1,0.395,0.374,0.376,0.393,0.395,0.39,0.409,0.37,0.391,0.379,0.3872,0.011469960767151732
rico_tree_add_0.2,0.407,0.376,0.414,0.365,0.403,0.398,0.391,0.38,0.4,0.379,0.3913,0.014913416778190032
rico_tree_add_0.3,0.392,0.393,0.381,0.363,0.405,0.407,0.387,0.383,0.374,0.385,0.387,0.012593649193144934
rico_tree_add_0.4,0.424,0.432,0.388,0.455,0.401,0.411,0.448,0.423,0.411,0.378,0.4171,0.023248440807933767
rico_tree_add_0.5,0.397,0.434,0.5,0.441,0.45,0.425,0.447,0.493,0.402,0.394,0.4383,0.034928641542436197
rico_tree_add_0.6,0.403,0.387,0.468,0.468,0.428,0.385,0.473,0.416,0.42,0.476,0.4324,0.03420292385162414
rico_tree_add_0.7,0.384,0.399,0.44,0.357,0.459,0.418,0.446,0.373,0.44,0.4,0.4116000000000001,0.03257360894957758
rico_tree_add_0.8,0.368,0.3,0.371,0.438,0.362,0.404,0.386,0.384,0.326,0.369,0.3708,0.03623754958603024
rico_tree_add_0.9,0.271,0.231,0.283,0.365,0.298,0.336,0.24,0.286,0.28,0.335,0.2925,0.04034166580596295
rico_tree_cat_0.1,0.385,0.377,0.392,0.359,0.394,0.353,0.396,0.382,0.397,0.355,0.37899999999999995,0.016456001944579385
rico_tree_cat_0.2,0.408,0.383,0.388,0.378,0.388,0.364,0.392,0.393,0.387,0.377,0.3858,0.011025425161870175
rico_tree_cat_0.3,0.404,0.409,0.393,0.369,0.378,0.397,0.393,0.373,0.369,0.396,0.38809999999999995,0.013924438947404673
rico_tree_cat_0.4,0.408,0.424,0.398,0.441,0.389,0.428,0.406,0.362,0.462,0.393,0.4111000000000001,0.027149401466699044
rico_tree_cat_0.5,0.373,0.444,0.473,0.377,0.413,0.45,0.471,0.445,0.48,0.429,0.43550000000000005,0.03591169725869274
rico_tree_cat_0.6,0.416,0.394,0.409,0.423,0.462,0.497,0.497,0.4,0.463,0.442,0.44029999999999997,0.03613322570709679
rico_tree_cat_0.7,0.378,0.391,0.407,0.435,0.444,0.446,0.422,0.454,0.425,0.408,0.4210000000000001,0.023600847442411896
rico_tree_cat_0.8,0.372,0.37,0.388,0.333,0.352,0.381,0.301,0.402,0.34,0.375,0.3614,0.028482275190019495
rico_tree_cat_0.9,0.248,0.289,0.253,0.233,0.286,0.209,0.324,0.247,0.274,0.252,0.2615,0.030890937182286974
conv_re_conv_se_add_0.1,0.36,0.355,0.343,0.265,0.337,0.371,0.354,0.331,0.312,0.374,0.34019999999999995,0.030733694864106393
conv_re_conv_se_add_0.2,0.383,0.315,0.333,0.29,0.329,0.319,0.362,0.387,0.342,0.401,0.3461,0.03410410532472594
conv_re_conv_se_add_0.3,0.339,0.298,0.316,0.267,0.295,0.301,0.329,0.344,0.258,0.327,0.3074,0.027601449237313606
conv_re_conv_se_add_0.4,0.342,0.289,0.325,0.31,0.316,0.27,0.336,0.308,0.239,0.31,0.3045,0.029571100757327256
conv_re_conv_se_add_0.5,0.327,0.245,0.299,0.307,0.295,0.247,0.271,0.311,0.277,0.318,0.28969999999999996,0.0271884166512138
conv_re_conv_se_add_0.6,0.276,0.221,0.317,0.274,0.255,0.218,0.223,0.303,0.241,0.284,0.2612,0.03339401143917873
conv_re_conv_se_add_0.7,0.237,0.232,0.317,0.282,0.202,0.173,0.214,0.296,0.27,0.239,0.24619999999999997,0.042458921324028
conv_re_conv_se_add_0.8,0.215,0.192,0.29,0.237,0.245,0.162,0.222,0.29,0.248,0.249,0.23500000000000001,0.037770358748627206
conv_re_conv_se_add_0.9,0.235,0.184,0.219,0.246,0.203,0.165,0.218,0.224,0.208,0.241,0.2143,0.02406678208651917
conv_re_conv_se_cat_0.1,0.363,0.395,0.331,0.307,0.366,0.38,0.372,0.323,0.332,0.399,0.35679999999999995,0.030059274775017443
conv_re_conv_se_cat_0.2,0.446,0.315,0.324,0.267,0.319,0.323,0.336,0.387,0.349,0.341,0.3407,0.0452527347239921
conv_re_conv_se_cat_0.3,0.37,0.288,0.335,0.27,0.326,0.31,0.373,0.345,0.32,0.329,0.3266,0.030764264983906248
conv_re_conv_se_cat_0.4,0.345,0.286,0.311,0.314,0.274,0.287,0.304,0.334,0.296,0.304,0.3055,0.0206990337938755
conv_re_conv_se_cat_0.5,0.326,0.257,0.315,0.282,0.298,0.243,0.3,0.311,0.293,0.299,0.2924,0.024331872102244825
conv_re_conv_se_cat_0.6,0.321,0.214,0.315,0.235,0.266,0.22,0.238,0.289,0.259,0.279,0.26359999999999995,0.03560954928105662
conv_re_conv_se_cat_0.7,0.279,0.238,0.293,0.292,0.208,0.186,0.201,0.266,0.238,0.252,0.24530000000000002,0.03611384775955063
conv_re_conv_se_cat_0.8,0.275,0.174,0.256,0.247,0.256,0.161,0.204,0.281,0.213,0.24,0.23070000000000004,0.03901807273559268
conv_re_conv_se_cat_0.9,0.232,0.139,0.217,0.198,0.168,0.184,0.191,0.216,0.203,0.203,0.19510000000000002,0.025363162263408713
