,parameters,purity,simple,types
0,jideca_b02g01re_34,0.358,0.1,real
1,jideca_b02g05re_34,0.344,0.5,real
2,jideca_b02g02re_34,0.327,0.2,real
3,jideca_b02g10re_34,0.204,10,real
4,jideca_b02g1re_34,0.201,1,real
