,parameters,purity,simple,types
0,jideca_b10g02re_23,0.392,0.2,real
1,jideca_b02g1re_23,0.367,1,real
2,jideca_b10g01re_23,0.365,0.1,real
3,jideca_b02g02re_23,0.331,0.2,real
4,jideca_b1g1re_23,0.31,1,real
5,jideca_b01g01re_23,0.355,0.1,real
6,jideca_b01g02re_23,0.322,0.2,real
7,jideca_b1g05re_23,0.341,0.5,real
8,jideca_b1g01re_23,0.295,0.1,real
9,jideca_b02g01re_23,0.289,0.1,real
10,jideca_b01g05re_23,0.314,0.5,real
11,jideca_b1g02re_23,0.216,0.2,real
12,jideca_b02g05re_23,0.31,0.5,real
13,jideca_b10g1re_23,0.237,1,real
14,jideca_b10g05re_23,0.207,0.5,real
15,jideca_b10g10re_23,0.191,10,real
16,jideca_b01g1re_23,0.198,1,real
17,jideca_b02g10re_23,0.154,10,real
18,jideca_b01g10re_23,0.132,10,real
19,jideca_b1g10re_23,0.194,10,real
