,parameters,nmi,simple,types
0,jideca_b05g01re_23,0.579,0.1,real
1,jideca_b05g1re_23,0.494,1,real
2,jideca_b05g02re_23,0.494,0.2,real
3,jideca_b05g05re_23,0.48,0.5,real
4,jideca_b05g10re_23,0.261,10,real
