,parameters,nmi,simple,types
0,jideca_b02g01re_34,0.596,0.2,real
1,jideca_b01g01re_34,0.597,0.1,real
2,jideca_b10g01re_34,0.583,10,real
3,jideca_b05g01re_34,0.565,0.5,real
4,jideca_b05g01se_34,0.558,0.5,semantic
5,jideca_b02g01se_34,0.558,0.2,semantic
6,jideca_b1g01re_34,0.546,1,real
7,jideca_b10g01se_34,0.556,10,semantic
8,jideca_b01g01se_34,0.546,0.1,semantic
9,jideca_b1g01se_34,0.539,1,semantic
