,parameters,purity,simple,types
0,jideca_b05g1re_23,0.308,1,real
1,jideca_b05g02re_23,0.292,0.2,real
2,jideca_b05g05re_23,0.274,0.5,real
3,jideca_b05g01re_23,0.315,0.1,real
4,jideca_b05g10re_23,0.193,10,real
