name,0,1,2,3,4,5,6,7,8,9,Mean_pg,Std_pg
rico,0.37,,,,,,,,,,0.37,0.0
seq2seq,0.363,0.42,0.34700000000000003,0.34700000000000003,0.384,0.327,0.366,0.33299999999999996,0.414,0.376,0.36769999999999997,0.02992674389237826
transformer,0.33399999999999996,0.371,0.379,0.44,0.311,0.387,0.349,0.426,0.414,0.381,0.3792,0.03851700922968968
transformer_mean,0.40399999999999997,0.38,0.414,0.434,0.34299999999999997,0.42100000000000004,0.38299999999999995,0.35600000000000004,0.431,0.391,0.3957,0.02922344948838176
conv_se,0.45299999999999996,0.40399999999999997,0.446,0.349,0.419,0.373,0.374,0.386,0.46399999999999997,0.456,0.41240000000000004,0.03898512536852999
conv_re,0.284,0.171,0.256,0.29,0.29,0.257,0.271,0.22899999999999998,0.239,0.233,0.252,0.03454562200916347
rico_seq2seq_add,0.486,0.419,0.473,0.436,0.397,0.419,0.41,0.376,0.429,0.414,0.42590000000000006,0.0312360368805007
rico_transformer_add,0.436,0.41600000000000004,0.467,0.331,0.44,0.384,0.45899999999999996,0.40700000000000003,0.344,0.337,0.4021,0.04821711314460873
rico_transformer_mean_add,0.444,0.447,0.461,0.433,0.473,0.42,0.47100000000000003,0.381,0.39399999999999996,0.45299999999999996,0.4377000000000001,0.02952642883926196
conv_re_conv_se_add,0.36,0.253,0.349,0.386,0.364,0.281,0.34,0.466,0.40700000000000003,0.32,0.35259999999999997,0.05779307917043355
rico_seq2seq_cat,0.33299999999999996,0.466,0.483,0.40700000000000003,0.46,0.327,0.363,0.327,0.45899999999999996,0.46399999999999997,0.40890000000000004,0.06180202262062303
rico_transformer_cat,0.47600000000000003,0.444,0.447,0.469,0.44299999999999995,0.433,0.47100000000000003,0.353,0.47600000000000003,0.373,0.4385,0.04068476373287672
rico_transformer_mean_cat,0.401,0.44299999999999995,0.45299999999999996,0.46,0.467,0.38,0.493,0.447,0.47100000000000003,0.41700000000000004,0.4431999999999999,0.032670475968372414
conv_re_conv_se_cat,0.349,0.27399999999999997,0.303,0.34700000000000003,0.361,0.26899999999999996,0.36700000000000005,0.37,0.324,0.34299999999999997,0.3307,0.03516546601425895
rico_conv_se_add,0.409,0.444,0.439,0.326,0.436,0.433,0.493,0.4,0.473,0.45399999999999996,0.43069999999999997,0.04343742625893021
seq2seq_conv_se_add,0.45399999999999996,0.44299999999999995,0.406,0.35,0.45299999999999996,0.467,0.41700000000000004,0.38299999999999995,0.41100000000000003,0.467,0.42510000000000003,0.0367245149729714
transformer_conv_se_add,0.43700000000000006,0.46399999999999997,0.44299999999999995,0.354,0.397,0.45,0.42,0.363,0.41,0.439,0.41769999999999996,0.034922915113145984
transformer_mean_conv_se_add,0.429,0.46399999999999997,0.44299999999999995,0.326,0.336,0.45,0.42,0.363,0.426,0.439,0.4096,0.04679999999999999
rico_conv_se_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.507,0.4255,0.042706556873623035
seq2seq_conv_se_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.507,0.4255,0.042706556873623035
transformer_conv_se_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.507,0.4255,0.042706556873623035
transformer_mean_conv_se_cat,0.441,0.45399999999999996,0.444,0.387,0.336,0.433,0.42700000000000005,0.4,0.426,0.507,0.4255,0.042706556873623035
rico_conv_re_add,0.28300000000000003,0.193,0.304,0.287,0.276,0.253,0.281,0.226,0.23600000000000002,0.191,0.253,0.03798947222586805
seq2seq_conv_re_add,0.32299999999999995,0.217,0.266,0.36700000000000005,0.297,0.26899999999999996,0.281,0.22899999999999998,0.23399999999999999,0.256,0.2739,0.04349126349049888
transformer_conv_re_add,0.26899999999999996,0.193,0.266,0.281,0.261,0.25,0.281,0.27,0.263,0.256,0.259,0.02388304838164509
transformer_mean_conv_re_add,0.26899999999999996,0.193,0.27399999999999997,0.287,0.28,0.253,0.281,0.28600000000000003,0.263,0.254,0.264,0.026355265128622782
rico_conv_re_cat,0.26899999999999996,0.193,0.266,0.287,0.27899999999999997,0.253,0.281,0.259,0.253,0.221,0.2561,0.02757698315624825
seq2seq_conv_re_cat,0.26899999999999996,0.193,0.304,0.287,0.29,0.253,0.281,0.259,0.253,0.221,0.261,0.031915513469157906
transformer_conv_re_cat,0.26899999999999996,0.193,0.266,0.287,0.27899999999999997,0.253,0.281,0.259,0.253,0.221,0.2561,0.02757698315624825
transformer_mean_conv_re_cat,0.26899999999999996,0.193,0.266,0.287,0.28600000000000003,0.253,0.281,0.259,0.253,0.221,0.25680000000000003,0.028230479981750222
rico_seq2seq_add_0.1,0.381,0.38299999999999995,0.401,0.38,0.331,0.35700000000000004,0.401,0.41100000000000003,0.381,0.406,0.38320000000000004,0.023146490014686896
rico_transformer_add_0.1,0.41600000000000004,0.5,0.39,0.414,0.387,0.46,0.44,0.4,0.42100000000000004,0.349,0.41770000000000007,0.0397870581973586
rico_transformer_mean_add_0.1,0.414,0.426,0.48700000000000004,0.426,0.434,0.381,0.419,0.413,0.48,0.389,0.42689999999999995,0.03232475831309494
conv_re_conv_se_add_0.1,0.366,0.467,0.409,0.39,0.309,0.523,0.45899999999999996,0.49,0.513,0.42700000000000005,0.43529999999999996,0.06469474476338864
rico_seq2seq_add_0.2,0.311,0.409,0.386,0.38299999999999995,0.299,0.309,0.33,0.39399999999999996,0.389,0.4,0.361,0.041007316420365765
rico_transformer_add_0.2,0.419,0.37,0.41,0.49700000000000005,0.447,0.447,0.39299999999999996,0.391,0.42700000000000005,0.43,0.4231,0.03407477072556764
rico_transformer_mean_add_0.2,0.423,0.41,0.436,0.484,0.48700000000000004,0.41600000000000004,0.43700000000000006,0.48700000000000004,0.473,0.376,0.4429,0.036393543383408
conv_re_conv_se_add_0.2,0.376,0.314,0.40299999999999997,0.32899999999999996,0.324,0.371,0.38,0.431,0.483,0.36700000000000005,0.3778,0.04904039151556602
rico_seq2seq_add_0.3,0.41100000000000003,0.40399999999999997,0.41700000000000004,0.434,0.303,0.33399999999999996,0.40399999999999997,0.32899999999999996,0.379,0.38299999999999995,0.37979999999999997,0.04129600464936046
rico_transformer_add_0.3,0.386,0.46,0.439,0.423,0.45899999999999996,0.369,0.45899999999999996,0.37,0.467,0.409,0.42410000000000003,0.03664819231558359
rico_transformer_mean_add_0.3,0.423,0.431,0.52,0.449,0.467,0.46399999999999997,0.414,0.483,0.41100000000000003,0.373,0.44350000000000006,0.03986038133284728
conv_re_conv_se_add_0.3,0.33399999999999996,0.41,0.311,0.38299999999999995,0.33899999999999997,0.36700000000000005,0.344,0.424,0.364,0.40299999999999997,0.3679,0.034912605173489986
rico_seq2seq_add_0.4,0.391,0.36,0.413,0.373,0.35700000000000004,0.35700000000000004,0.363,0.387,0.387,0.429,0.3817,0.023401068351680005
rico_transformer_add_0.4,0.424,0.42100000000000004,0.41100000000000003,0.4,0.371,0.44,0.384,0.439,0.446,0.41100000000000003,0.4147,0.023306865941177073
rico_transformer_mean_add_0.4,0.511,0.397,0.434,0.33299999999999996,0.47,0.444,0.42100000000000004,0.436,0.431,0.349,0.4226,0.05000239994240277
conv_re_conv_se_add_0.4,0.306,0.38,0.386,0.244,0.379,0.316,0.309,0.45299999999999996,0.35100000000000003,0.39399999999999996,0.3518,0.05617793161019725
rico_seq2seq_add_0.5,0.486,0.419,0.473,0.436,0.397,0.419,0.41,0.376,0.429,0.414,0.42590000000000006,0.0312360368805007
rico_transformer_add_0.5,0.436,0.41600000000000004,0.467,0.331,0.44,0.384,0.45899999999999996,0.40700000000000003,0.344,0.337,0.4021,0.04821711314460873
rico_transformer_mean_add_0.5,0.444,0.447,0.461,0.433,0.473,0.42,0.47100000000000003,0.381,0.39399999999999996,0.45299999999999996,0.4377000000000001,0.02952642883926196
conv_re_conv_se_add_0.5,0.36,0.253,0.349,0.386,0.364,0.281,0.34,0.466,0.40700000000000003,0.32,0.35259999999999997,0.05779307917043355
rico_seq2seq_add_0.6,0.42700000000000005,0.41,0.491,0.41,0.457,0.314,0.419,0.40299999999999997,0.40399999999999997,0.43,0.4165,0.042916779935125604
rico_transformer_add_0.6,0.39299999999999996,0.379,0.34,0.444,0.41,0.41,0.409,0.387,0.42,0.423,0.40149999999999997,0.02717075633838704
rico_transformer_mean_add_0.6,0.41600000000000004,0.431,0.44,0.48,0.37,0.474,0.43,0.396,0.42,0.413,0.42699999999999994,0.03128577951721835
conv_re_conv_se_add_0.6,0.36,0.27699999999999997,0.299,0.264,0.299,0.284,0.307,0.377,0.294,0.26899999999999996,0.303,0.03545137514963277
rico_seq2seq_add_0.7,0.45299999999999996,0.35,0.397,0.406,0.354,0.379,0.41,0.467,0.446,0.401,0.40630000000000005,0.03770954786257719
