,parameters,purity,simple,types
0,jideca_b02g01re_34,0.358,0.2,real
1,jideca_b10g01re_34,0.325,10,real
2,jideca_b10g01se_34,0.312,10,semantic
3,jideca_b02g01se_34,0.324,0.2,semantic
4,jideca_b05g01re_34,0.289,0.5,real
5,jideca_b01g01se_34,0.344,0.1,semantic
6,jideca_b05g01se_34,0.3,0.5,semantic
7,jideca_b1g01se_34,0.328,1,semantic
8,jideca_b1g01re_34,0.266,1,real
9,jideca_b01g01re_34,0.267,0.1,real
