name,0,1,2,3,4,5,6,7,8,9,Mean,Std
conv_re_23_conv_se_23_add_0.4,0.252,0.237,0.291,0.272,0.269,0.212,0.262,0.349,0.231,0.275,0.265,0.035810612952028614
rico_23_seq2seq_23_add_0.5,0.376,0.319,0.347,0.303,0.32,0.346,0.33,0.307,0.326,0.354,0.33280000000000004,0.021572204337990123
rico_23_transformer_23_add_0.5,0.313,0.314,0.349,0.296,0.345,0.308,0.343,0.311,0.348,0.271,0.3198,0.02462843884617942
rico_23_transformer_mean_23_add_0.5,0.312,0.313,0.319,0.319,0.356,0.346,0.339,0.334,0.313,0.361,0.33120000000000005,0.017662389419328284
conv_re_23_conv_se_23_add_0.5,0.251,0.221,0.287,0.276,0.245,0.199,0.242,0.345,0.244,0.243,0.25529999999999997,0.03795536852673149
rico_23_seq2seq_23_add_0.6,0.378,0.291,0.416,0.321,0.324,0.291,0.372,0.292,0.303,0.368,0.33559999999999995,0.04233957959167758
rico_23_transformer_23_add_0.6,0.359,0.318,0.306,0.298,0.321,0.319,0.316,0.309,0.379,0.362,0.32870000000000005,0.026138286095304716
rico_23_transformer_mean_23_add_0.6,0.311,0.294,0.305,0.349,0.317,0.316,0.33,0.289,0.326,0.372,0.3209,0.023750578940312173
conv_re_23_conv_se_23_add_0.6,0.227,0.191,0.3,0.241,0.222,0.187,0.197,0.256,0.208,0.202,0.22310000000000002,0.0331977408869941
rico_23_seq2seq_23_add_0.7,0.372,0.292,0.329,0.336,0.317,0.314,0.318,0.371,0.385,0.398,0.3432,0.03376625534464846
rico_23_transformer_23_add_0.7,0.372,0.315,0.291,0.282,0.306,0.334,0.281,0.299,0.324,0.285,0.3089,0.02716044918627084
rico_23_transformer_mean_23_add_0.7,0.331,0.326,0.26,0.314,0.267,0.297,0.302,0.321,0.326,0.303,0.3047,0.023324021951627468
conv_re_23_conv_se_23_add_0.7,0.236,0.201,0.26,0.255,0.199,0.175,0.167,0.257,0.182,0.209,0.2141,0.03361978584107876
rico_23_seq2seq_23_add_0.8,0.304,0.326,0.341,0.295,0.333,0.302,0.29,0.326,0.302,0.273,0.30920000000000003,0.020380382724571204
rico_23_transformer_23_add_0.8,0.278,0.268,0.286,0.277,0.272,0.271,0.286,0.295,0.228,0.286,0.27470000000000006,0.01748742405273
rico_23_transformer_mean_23_add_0.8,0.311,0.227,0.298,0.198,0.281,0.233,0.259,0.224,0.284,0.263,0.2578,0.03461444785057245
conv_re_23_conv_se_23_add_0.8,0.222,0.14,0.244,0.226,0.171,0.159,0.118,0.233,0.211,0.184,0.1908,0.0406959457440173
rico_23_seq2seq_23_add_0.9,0.285,0.315,0.217,0.237,0.281,0.268,0.262,0.228,0.266,0.274,0.2633,0.02772020923441957
rico_23_transformer_23_add_0.9,0.275,0.242,0.293,0.198,0.245,0.234,0.246,0.209,0.204,0.258,0.24040000000000003,0.02911769221624544
rico_23_transformer_mean_23_add_0.9,0.199,0.234,0.254,0.222,0.214,0.294,0.229,0.191,0.249,0.233,0.23190000000000005,0.02797302271832631
conv_re_23_conv_se_23_add_0.9,0.219,0.156,0.186,0.205,0.15,0.178,0.11,0.212,0.162,0.12,0.1698,0.035312320796005464
rico_23_seq2seq_23_cat_0.1,0.295,0.258,0.244,0.276,0.269,0.264,0.278,0.221,0.275,0.286,0.2666,0.020367621363330573
rico_23_transformer_23_cat_0.1,0.312,0.316,0.333,0.31,0.304,0.314,0.291,0.292,0.324,0.267,0.30629999999999996,0.017927911200137068
rico_23_transformer_mean_23_cat_0.1,0.31,0.316,0.31,0.333,0.328,0.332,0.306,0.303,0.316,0.286,0.31399999999999995,0.013747727084867531
conv_re_23_conv_se_23_cat_0.1,0.337,0.358,0.322,0.227,0.324,0.361,0.34,0.271,0.357,0.361,0.3258,0.04194949344151845
rico_23_seq2seq_23_cat_0.2,0.258,0.272,0.273,0.3,0.263,0.258,0.27,0.233,0.31,0.292,0.27290000000000003,0.021491626276296534
rico_23_transformer_23_cat_0.2,0.347,0.333,0.29,0.304,0.308,0.298,0.322,0.292,0.344,0.307,0.31449999999999995,0.019780040444852483
rico_23_transformer_mean_23_cat_0.2,0.323,0.339,0.346,0.349,0.337,0.344,0.315,0.347,0.334,0.324,0.3358,0.011052601503718468
conv_re_23_conv_se_23_cat_0.2,0.362,0.306,0.353,0.251,0.262,0.322,0.316,0.31,0.324,0.325,0.3131,0.03295284509719911
rico_23_seq2seq_23_cat_0.3,0.309,0.27,0.274,0.304,0.283,0.29,0.291,0.261,0.317,0.324,0.2923,0.019839606850943388
rico_23_transformer_23_cat_0.3,0.344,0.351,0.346,0.327,0.298,0.305,0.317,0.319,0.356,0.287,0.32499999999999996,0.022618576436195092
rico_23_transformer_mean_23_cat_0.3,0.356,0.349,0.407,0.341,0.378,0.339,0.343,0.334,0.372,0.369,0.3588,0.021558293067866004
conv_re_23_conv_se_23_cat_0.3,0.323,0.255,0.302,0.293,0.295,0.236,0.325,0.34,0.287,0.32,0.2976,0.030764264983906255
rico_23_seq2seq_23_cat_0.4,0.298,0.327,0.307,0.321,0.312,0.264,0.282,0.284,0.283,0.335,0.30129999999999996,0.021771770713472076
rico_23_transformer_23_cat_0.4,0.334,0.359,0.341,0.335,0.306,0.32,0.337,0.322,0.379,0.35,0.33830000000000005,0.019758795509848263
rico_23_transformer_mean_23_cat_0.4,0.318,0.321,0.368,0.351,0.374,0.333,0.358,0.373,0.362,0.387,0.35450000000000004,0.022267689597261768
conv_re_23_conv_se_23_cat_0.4,0.27,0.235,0.315,0.232,0.227,0.193,0.293,0.302,0.253,0.272,0.25920000000000004,0.036265134771568126
rico_23_seq2seq_23_cat_0.5,0.313,0.36,0.339,0.32,0.31,0.287,0.334,0.233,0.333,0.343,0.31720000000000004,0.03403468818720101
rico_23_transformer_23_cat_0.5,0.383,0.336,0.327,0.337,0.352,0.326,0.334,0.285,0.347,0.295,0.3322,0.02628611800932196
rico_23_transformer_mean_23_cat_0.5,0.34,0.301,0.325,0.371,0.377,0.298,0.363,0.33,0.38,0.36,0.3445,0.0287515216988597
conv_re_23_conv_se_23_cat_0.5,0.275,0.213,0.26,0.305,0.214,0.185,0.267,0.302,0.237,0.215,0.2473,0.038670531416053755
rico_23_seq2seq_23_cat_0.6,0.372,0.325,0.371,0.326,0.317,0.344,0.329,0.31,0.369,0.346,0.3409000000000001,0.02200204535946601
rico_23_transformer_23_cat_0.6,0.313,0.347,0.343,0.322,0.351,0.35,0.316,0.298,0.312,0.326,0.3278,0.017786511743453234
rico_23_transformer_mean_23_cat_0.6,0.298,0.322,0.331,0.333,0.296,0.317,0.323,0.312,0.325,0.357,0.3214,0.016764247671756705
conv_re_23_conv_se_23_cat_0.6,0.237,0.187,0.286,0.246,0.187,0.192,0.231,0.258,0.24,0.213,0.2277,0.031151404462720453
rico_23_seq2seq_23_cat_0.7,0.296,0.37,0.373,0.386,0.368,0.355,0.36,0.327,0.34,0.332,0.3506999999999999,0.025569708641280994
rico_23_transformer_23_cat_0.7,0.326,0.286,0.263,0.281,0.308,0.286,0.305,0.319,0.327,0.295,0.2996,0.020000999975001252
rico_23_transformer_mean_23_cat_0.7,0.251,0.314,0.274,0.266,0.343,0.292,0.317,0.334,0.348,0.311,0.305,0.031562636138320256
conv_re_23_conv_se_23_cat_0.7,0.199,0.167,0.245,0.241,0.202,0.194,0.21,0.246,0.232,0.212,0.21480000000000002,0.024555243839147676
rico_23_seq2seq_23_cat_0.8,0.348,0.302,0.322,0.318,0.326,0.291,0.285,0.288,0.319,0.34,0.31389999999999996,0.020666155907667016
rico_23_transformer_23_cat_0.8,0.301,0.307,0.297,0.231,0.256,0.271,0.273,0.244,0.282,0.244,0.27060000000000006,0.02505673562138531
rico_23_transformer_mean_23_cat_0.8,0.318,0.287,0.278,0.234,0.308,0.271,0.198,0.263,0.297,0.33,0.27840000000000004,0.037754999668918016
conv_re_23_conv_se_23_cat_0.8,0.215,0.134,0.243,0.2,0.207,0.184,0.161,0.25,0.184,0.2,0.1978,0.033111327366929885
rico_23_seq2seq_23_cat_0.9,0.277,0.235,0.227,0.266,0.277,0.294,0.249,0.263,0.237,0.251,0.2576,0.020411761315476923
rico_23_transformer_23_cat_0.9,0.276,0.209,0.274,0.191,0.197,0.203,0.204,0.258,0.247,0.246,0.2305,0.031360006377550376
