,parameters,ari,simple,types
0,jideca_b01g01re_34,0.312,0.1,real
1,jideca_b01g1re_34,0.267,1,real
2,jideca_b1g05re_34,0.259,0.5,real
3,jideca_b01g05re_34,0.259,0.5,real
4,jideca_b1g01re_34,0.255,0.1,real
5,jideca_b05g01re_34,0.248,0.1,real
6,jideca_b01g02re_34,0.198,0.2,real
7,jideca_b05g02re_34,0.19,0.2,real
8,jideca_b1g10re_34,0.175,10,real
9,jideca_b05g10re_34,0.17,10,real
10,jideca_b1g1re_34,0.134,1,real
11,jideca_b05g1re_34,0.134,1,real
12,jideca_b05g05re_34,0.181,0.5,real
13,jideca_b1g02re_34,0.197,0.2,real
14,jideca_b01g10re_34,0.059,10,real
