name,0,1,2,3,4,5,6,7,8,9,Mean_ak,Std_ak
rico_transformer_add_0.5,0.373,0.346,0.347,0.375,0.34,0.344,0.368,0.401,0.432,0.323,0.3649,0.0307780766130699
rico_transformer_mean_add_0.5,0.352,0.354,0.393,0.382,0.385,0.372,0.353,0.37,0.39,0.406,0.37570000000000003,0.017725969649077047
conv_re_conv_se_add_0.5,0.341,0.269,0.325,0.296,0.312,0.268,0.299,0.319,0.25,0.301,0.29800000000000004,0.026970354094820483
rico_seq2seq_add_0.6,0.383,0.332,0.438,0.362,0.36,0.348,0.386,0.354,0.399,0.4,0.3762,0.02958648340036376
rico_transformer_add_0.6,0.387,0.287,0.367,0.356,0.383,0.383,0.37,0.359,0.331,0.342,0.3565,0.02885220962075522
rico_transformer_mean_add_0.6,0.333,0.349,0.347,0.381,0.379,0.334,0.352,0.369,0.358,0.374,0.3576,0.01668652150689292
conv_re_conv_se_add_0.6,0.308,0.22,0.297,0.299,0.268,0.229,0.252,0.294,0.276,0.275,0.27179999999999993,0.028508945964381072
rico_seq2seq_add_0.7,0.33,0.342,0.385,0.366,0.351,0.397,0.371,0.379,0.393,0.379,0.3693,0.02098118204487059
rico_transformer_add_0.7,0.367,0.324,0.29,0.331,0.362,0.31,0.348,0.346,0.34,0.345,0.33629999999999993,0.02222183610775671
rico_transformer_mean_add_0.7,0.345,0.347,0.359,0.328,0.315,0.334,0.31,0.334,0.34,0.347,0.3359,0.014341896666759238
conv_re_conv_se_add_0.7,0.296,0.189,0.276,0.257,0.267,0.22,0.229,0.281,0.261,0.237,0.2513,0.030701954335188505
rico_seq2seq_add_0.8,0.377,0.376,0.362,0.349,0.373,0.346,0.364,0.338,0.368,0.342,0.3595,0.013858210562695311
rico_transformer_add_0.8,0.362,0.368,0.332,0.323,0.312,0.354,0.315,0.334,0.317,0.323,0.334,0.019287301521985902
rico_transformer_mean_add_0.8,0.347,0.359,0.31,0.307,0.304,0.322,0.298,0.342,0.299,0.237,0.3125,0.032426069758760466
conv_re_conv_se_add_0.8,0.242,0.215,0.301,0.266,0.25,0.21,0.246,0.283,0.247,0.22,0.248,0.02778488797889961
rico_seq2seq_add_0.9,0.283,0.295,0.301,0.346,0.291,0.322,0.304,0.332,0.359,0.305,0.31379999999999997,0.02374363072489126
rico_transformer_add_0.9,0.283,0.329,0.323,0.313,0.274,0.316,0.262,0.278,0.306,0.28,0.29640000000000005,0.022348154286204486
rico_transformer_mean_add_0.9,0.273,0.309,0.335,0.31,0.274,0.309,0.312,0.326,0.294,0.28,0.3022,0.020247468977627792
conv_re_conv_se_add_0.9,0.248,0.176,0.231,0.26,0.231,0.163,0.247,0.263,0.22,0.226,0.2265,0.03162672920173694
rico_seq2seq_cat_0.1,0.355,0.293,0.317,0.302,0.293,0.287,0.29,0.29,0.316,0.35,0.30929999999999996,0.023824567152416435
rico_transformer_cat_0.1,0.329,0.333,0.343,0.326,0.349,0.318,0.324,0.295,0.363,0.289,0.3269,0.02152881789602021
rico_transformer_mean_cat_0.1,0.317,0.359,0.349,0.338,0.355,0.346,0.346,0.329,0.354,0.314,0.34070000000000006,0.015033628969746448
conv_re_conv_se_cat_0.1,0.356,0.368,0.354,0.269,0.35,0.396,0.366,0.324,0.323,0.397,0.3503,0.03594732257067277
rico_seq2seq_cat_0.2,0.349,0.288,0.321,0.319,0.288,0.277,0.31,0.287,0.323,0.373,0.3135,0.028852209620755218
rico_transformer_cat_0.2,0.39,0.333,0.371,0.331,0.354,0.344,0.379,0.299,0.372,0.281,0.3454,0.03349388003800097
rico_transformer_mean_cat_0.2,0.301,0.326,0.398,0.328,0.386,0.353,0.36,0.358,0.379,0.396,0.35849999999999993,0.03077092783781471
conv_re_conv_se_cat_0.2,0.417,0.306,0.356,0.31,0.331,0.33,0.311,0.327,0.358,0.358,0.3404,0.03174649586962315
rico_seq2seq_cat_0.3,0.343,0.272,0.324,0.312,0.31,0.272,0.295,0.283,0.328,0.382,0.3121,0.03254980798714487
rico_transformer_cat_0.3,0.352,0.371,0.37,0.352,0.38,0.372,0.383,0.347,0.392,0.327,0.3645999999999999,0.0186879640410613
rico_transformer_mean_cat_0.3,0.36,0.385,0.392,0.389,0.398,0.371,0.365,0.373,0.385,0.38,0.3798,0.0116344316577992
conv_re_conv_se_cat_0.3,0.378,0.287,0.316,0.299,0.323,0.31,0.308,0.371,0.288,0.36,0.32399999999999995,0.03198124450361493
rico_seq2seq_cat_0.4,0.34,0.286,0.323,0.343,0.319,0.298,0.32,0.298,0.339,0.389,0.3255,0.02807579028273293
rico_transformer_cat_0.4,0.325,0.361,0.402,0.343,0.383,0.368,0.393,0.336,0.403,0.324,0.3638,0.02921917178839948
rico_transformer_mean_cat_0.4,0.396,0.363,0.396,0.372,0.398,0.373,0.392,0.39,0.404,0.388,0.3872,0.012663332894621397
conv_re_conv_se_cat_0.4,0.348,0.288,0.333,0.309,0.31,0.269,0.344,0.353,0.331,0.317,0.32019999999999993,0.02567800615312645
rico_seq2seq_cat_0.5,0.417,0.312,0.351,0.334,0.355,0.309,0.345,0.312,0.376,0.365,0.3476,0.031950586849070546
rico_transformer_cat_0.5,0.365,0.359,0.395,0.379,0.407,0.367,0.397,0.341,0.384,0.327,0.37210000000000004,0.0240850576084011
rico_transformer_mean_cat_0.5,0.378,0.382,0.387,0.394,0.388,0.342,0.352,0.341,0.4,0.41,0.3774,0.023018253626198488
conv_re_conv_se_cat_0.5,0.319,0.235,0.325,0.327,0.292,0.274,0.282,0.318,0.296,0.285,0.2953,0.02710737906917599
rico_seq2seq_cat_0.6,0.436,0.356,0.425,0.397,0.39,0.349,0.354,0.363,0.374,0.395,0.3839,0.02856728898583134
rico_transformer_cat_0.6,0.4,0.329,0.384,0.403,0.392,0.38,0.364,0.34,0.363,0.378,0.37329999999999997,0.023216588896735026
rico_transformer_mean_cat_0.6,0.369,0.36,0.348,0.369,0.403,0.367,0.366,0.327,0.401,0.39,0.37000000000000005,0.022158519806160345
conv_re_conv_se_cat_0.6,0.286,0.244,0.34,0.297,0.253,0.23,0.254,0.283,0.267,0.266,0.27199999999999996,0.029765752132274434
rico_seq2seq_cat_0.7,0.43,0.382,0.409,0.402,0.4,0.391,0.352,0.35,0.421,0.42,0.3957,0.026172695696087555
rico_transformer_cat_0.7,0.367,0.307,0.317,0.307,0.398,0.321,0.364,0.348,0.36,0.342,0.34309999999999996,0.02847613035508863
rico_transformer_mean_cat_0.7,0.368,0.389,0.345,0.351,0.343,0.346,0.334,0.369,0.396,0.387,0.36279999999999996,0.020975223479143202
conv_re_conv_se_cat_0.7,0.299,0.217,0.283,0.274,0.246,0.167,0.242,0.306,0.263,0.249,0.2546,0.03901076774430362
rico_seq2seq_cat_0.8,0.356,0.364,0.357,0.387,0.345,0.362,0.372,0.337,0.364,0.339,0.35829999999999995,0.01449172177486167
rico_transformer_cat_0.8,0.376,0.335,0.269,0.296,0.304,0.286,0.348,0.324,0.326,0.292,0.3156,0.030620907889871585
rico_transformer_mean_cat_0.8,0.3,0.349,0.303,0.322,0.334,0.302,0.297,0.3,0.32,0.302,0.3129,0.0167418636955388
conv_re_conv_se_cat_0.8,0.237,0.218,0.261,0.237,0.25,0.226,0.239,0.286,0.244,0.245,0.24429999999999996,0.01792233243749261
rico_seq2seq_cat_0.9,0.311,0.268,0.244,0.313,0.325,0.288,0.273,0.285,0.296,0.292,0.2895,0.022694713040706197
rico_transformer_cat_0.9,0.295,0.287,0.262,0.279,0.294,0.276,0.272,0.315,0.288,0.307,0.2875,0.015265975239073321
rico_transformer_mean_cat_0.9,0.307,0.292,0.269,0.276,0.275,0.27,0.254,0.322,0.286,0.303,0.2854,0.019617339269126174
conv_re_conv_se_cat_0.9,0.246,0.151,0.231,0.243,0.243,0.179,0.199,0.228,0.21,0.238,0.21680000000000002,0.03020529754860892
rico_conv_se_add_0.1,0.365,0.358,0.332,0.277,0.369,0.354,0.35,0.33,0.314,0.376,0.34249999999999997,0.02851052437258914
seq2seq_conv_se_add_0.1,0.365,0.352,0.354,0.279,0.37,0.382,0.359,0.33,0.314,0.359,0.34640000000000004,0.029048924248584483
transformer_conv_se_add_0.1,0.365,0.358,0.354,0.279,0.374,0.354,0.359,0.33,0.349,0.359,0.34809999999999997,0.025426167623139737
transformer_mean_conv_se_add_0.1,0.365,0.364,0.354,0.279,0.318,0.354,0.359,0.33,0.349,0.359,0.3431,0.02569999999999999
rico_conv_se_cat_0.1,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
seq2seq_conv_se_cat_0.1,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
transformer_conv_se_cat_0.1,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
transformer_mean_conv_se_cat_0.1,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
rico_conv_se_add_0.2,0.365,0.358,0.332,0.278,0.369,0.354,0.35,0.33,0.336,0.376,0.3448,0.026787310428633915
seq2seq_conv_se_add_0.2,0.365,0.323,0.354,0.276,0.37,0.375,0.357,0.346,0.314,0.359,0.3439,0.029224818220136107
transformer_conv_se_add_0.2,0.365,0.358,0.354,0.279,0.318,0.354,0.359,0.33,0.349,0.359,0.34249999999999997,0.025271525478292745
transformer_mean_conv_se_add_0.2,0.365,0.351,0.354,0.279,0.318,0.354,0.359,0.33,0.349,0.359,0.3418,0.024927093693409175
rico_conv_se_cat_0.2,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
seq2seq_conv_se_cat_0.2,0.365,0.363,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.336,0.02624499952371879
transformer_conv_se_cat_0.2,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
transformer_mean_conv_se_cat_0.2,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
rico_conv_se_add_0.3,0.395,0.358,0.332,0.278,0.369,0.354,0.357,0.33,0.314,0.37,0.3457,0.03151840732016768
seq2seq_conv_se_add_0.3,0.365,0.34,0.33,0.276,0.318,0.375,0.341,0.33,0.331,0.359,0.3365000000000001,0.026363800939925172
transformer_conv_se_add_0.3,0.365,0.359,0.354,0.279,0.318,0.354,0.359,0.33,0.349,0.359,0.3426,0.025334561373743954
transformer_mean_conv_se_add_0.3,0.365,0.35,0.354,0.279,0.318,0.375,0.359,0.33,0.349,0.359,0.3438,0.026663833182796495
rico_conv_se_cat_0.3,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
seq2seq_conv_se_cat_0.3,0.365,0.363,0.332,0.277,0.353,0.354,0.35,0.33,0.318,0.359,0.3401,0.025684431081883036
transformer_conv_se_cat_0.3,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
transformer_mean_conv_se_cat_0.3,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
rico_conv_se_add_0.4,0.395,0.358,0.332,0.278,0.369,0.354,0.357,0.33,0.314,0.332,0.3419,0.030638048240708798
seq2seq_conv_se_add_0.4,0.365,0.34,0.336,0.276,0.344,0.362,0.359,0.33,0.332,0.358,0.3402,0.024669008897805347
transformer_conv_se_add_0.4,0.365,0.359,0.354,0.279,0.332,0.369,0.359,0.345,0.365,0.359,0.34859999999999997,0.02537794317906791
transformer_mean_conv_se_add_0.4,0.365,0.32,0.354,0.279,0.357,0.375,0.354,0.33,0.336,0.359,0.3429,0.026542230501598756
rico_conv_se_cat_0.4,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
seq2seq_conv_se_cat_0.4,0.365,0.358,0.323,0.277,0.353,0.354,0.35,0.33,0.318,0.359,0.3387,0.025690659781329075
transformer_conv_se_cat_0.4,0.365,0.358,0.332,0.277,0.314,0.354,0.35,0.33,0.349,0.359,0.3388,0.025458986625551287
transformer_mean_conv_se_cat_0.4,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.349,0.359,0.3396,0.025491959516678965
rico_conv_se_add_0.5,0.395,0.353,0.332,0.278,0.369,0.354,0.357,0.33,0.32,0.376,0.34639999999999993,0.03132794279872203
seq2seq_conv_se_add_0.5,0.357,0.335,0.336,0.276,0.321,0.362,0.343,0.33,0.332,0.38,0.3372,0.02639242315514056
transformer_conv_se_add_0.5,0.365,0.373,0.327,0.278,0.359,0.359,0.359,0.33,0.365,0.415,0.35300000000000004,0.033867388443752186
transformer_mean_conv_se_add_0.5,0.365,0.372,0.354,0.272,0.359,0.369,0.357,0.345,0.336,0.359,0.3488,0.027545598559479505
rico_conv_se_cat_0.5,0.365,0.364,0.332,0.279,0.314,0.354,0.35,0.33,0.314,0.359,0.3361,0.026349383294490963
seq2seq_conv_se_cat_0.5,0.365,0.358,0.323,0.277,0.348,0.382,0.359,0.33,0.322,0.377,0.34409999999999996,0.0300348131340949
transformer_conv_se_cat_0.5,0.365,0.358,0.362,0.277,0.314,0.354,0.35,0.33,0.318,0.359,0.33870000000000006,0.027022398117117572
transformer_mean_conv_se_cat_0.5,0.365,0.358,0.332,0.279,0.314,0.354,0.35,0.33,0.349,0.359,0.3390000000000001,0.0249759884689275
rico_conv_se_add_0.6,0.394,0.344,0.332,0.271,0.322,0.373,0.357,0.352,0.329,0.376,0.3450000000000001,0.03281767816284387
seq2seq_conv_se_add_0.6,0.394,0.337,0.334,0.254,0.303,0.377,0.342,0.331,0.345,0.331,0.33480000000000004,0.036077139576191464
transformer_conv_se_add_0.6,0.351,0.382,0.352,0.278,0.359,0.374,0.357,0.329,0.344,0.415,0.3541,0.03384213350248473
transformer_mean_conv_se_add_0.6,0.365,0.372,0.354,0.272,0.359,0.377,0.322,0.33,0.336,0.375,0.3462,0.030788959060026686
rico_conv_se_cat_0.6,0.365,0.352,0.332,0.277,0.369,0.354,0.35,0.33,0.318,0.359,0.3406,0.02623051657897723
seq2seq_conv_se_cat_0.6,0.365,0.363,0.361,0.277,0.318,0.382,0.359,0.33,0.359,0.378,0.34920000000000007,0.03038354817989498
transformer_conv_se_cat_0.6,0.365,0.358,0.362,0.277,0.369,0.354,0.35,0.33,0.321,0.377,0.3463,0.028234907472842893
transformer_mean_conv_se_cat_0.6,0.365,0.358,0.332,0.279,0.358,0.354,0.35,0.33,0.349,0.359,0.34340000000000004,0.02404246243628134
rico_conv_se_add_0.7,0.346,0.355,0.332,0.283,0.331,0.363,0.352,0.352,0.329,0.355,0.3398,0.021949031869310315
seq2seq_conv_se_add_0.7,0.392,0.373,0.348,0.269,0.349,0.347,0.353,0.307,0.322,0.361,0.3421,0.03317664841420844
transformer_conv_se_add_0.7,0.387,0.383,0.322,0.268,0.36,0.372,0.329,0.318,0.365,0.391,0.34950000000000003,0.037307505947195126
transformer_mean_conv_se_add_0.7,0.32,0.372,0.327,0.259,0.332,0.369,0.357,0.33,0.336,0.375,0.3377,0.032613034204133785
rico_conv_se_cat_0.7,0.365,0.352,0.332,0.278,0.332,0.354,0.359,0.33,0.318,0.377,0.3397,0.026926009730370362
seq2seq_conv_se_cat_0.7,0.365,0.371,0.36,0.279,0.329,0.377,0.327,0.33,0.351,0.377,0.3466,0.029189724219320735
transformer_conv_se_cat_0.7,0.365,0.358,0.364,0.277,0.369,0.354,0.369,0.33,0.319,0.377,0.34819999999999995,0.02934211989614928
transformer_mean_conv_se_cat_0.7,0.365,0.358,0.364,0.277,0.332,0.354,0.359,0.33,0.318,0.377,0.34340000000000004,0.02819999999999999
rico_conv_se_add_0.8,0.335,0.341,0.335,0.28,0.339,0.368,0.351,0.353,0.319,0.387,0.3408,0.027147007201531435
seq2seq_conv_se_add_0.8,0.387,0.349,0.334,0.279,0.323,0.371,0.351,0.337,0.318,0.356,0.3405,0.028573589204018448
transformer_conv_se_add_0.8,0.36,0.328,0.352,0.307,0.352,0.372,0.35,0.347,0.346,0.369,0.34829999999999994,0.018116567003712374
transformer_mean_conv_se_add_0.8,0.371,0.339,0.3,0.299,0.311,0.372,0.35,0.33,0.346,0.382,0.34,0.028474550040343046
rico_conv_se_cat_0.8,0.365,0.323,0.363,0.278,0.326,0.351,0.359,0.33,0.348,0.377,0.34199999999999997,0.027309339061939955
seq2seq_conv_se_cat_0.8,0.359,0.33,0.321,0.3,0.379,0.384,0.354,0.314,0.345,0.368,0.34540000000000004,0.026959970326393166
transformer_conv_se_cat_0.8,0.365,0.325,0.363,0.278,0.326,0.356,0.34,0.33,0.36,0.377,0.34199999999999997,0.02739342986922228
