,parameters,ari,simple,types
0,jideca_b10g1se_34,0.308,1,semantic
1,jideca_b10g01re_34,0.307,0.1,real
2,jideca_b10g05re_34,0.27,0.5,real
3,jideca_b10g02se_34,0.26,0.2,semantic
4,jideca_b10g01se_34,0.266,0.1,semantic
5,jideca_b10g02re_34,0.21,0.2,real
6,jideca_b10g05se_34,0.212,0.5,semantic
7,jideca_b10g1re_34,0.173,1,real
8,jideca_b10g10se_34,0.055,10,semantic
9,jideca_b10g10re_34,0.046,10,real
