,parameters,ari,simple,types
0,jideca_b05g01re_23,0.328,0.1,real
1,jideca_b05g1re_23,0.255,1,real
2,jideca_b05g02re_23,0.244,0.2,real
3,jideca_b05g05re_23,0.22,0.5,real
4,jideca_b05g10re_23,0.07,10,real
