name,0,1,2,3,4,5,6,7,8,9,Mean_pk,Std_pk
rico,0.39299999999999996,,,,,,,,,,0.39299999999999996,0.0
seq2seq,0.461,0.45399999999999996,0.465,0.401,0.444,0.38,0.41200000000000003,0.39399999999999996,0.434,0.475,0.43200000000000005,0.03149603149604724
tree,0.48200000000000004,0.462,0.493,0.41100000000000003,0.49,0.47600000000000003,0.494,0.48,0.484,0.43700000000000006,0.47090000000000004,0.025703890756070356
conv_se,0.455,0.46299999999999997,0.435,0.43,0.467,0.506,0.392,0.425,0.373,0.48700000000000004,0.44329999999999997,0.03883567947133152
conv_re,0.419,0.218,0.32,0.305,0.29100000000000004,0.272,0.261,0.32299999999999995,0.32299999999999995,0.36,0.3092,0.05244768822360047
rico_seq2seq_add,0.494,0.473,0.501,0.414,0.423,0.446,0.449,0.419,0.47600000000000003,0.505,0.45999999999999996,0.03281767816284389
rico_seq2seq_cat,0.535,0.41100000000000003,0.46,0.48200000000000004,0.49700000000000005,0.429,0.479,0.41600000000000004,0.45399999999999996,0.46799999999999997,0.4631,0.03625037930836035
rico_tree_add,0.518,0.52,0.546,0.504,0.529,0.504,0.569,0.552,0.585,0.502,0.5328999999999999,0.027537065929397767
rico_tree_cat,0.526,0.5489999999999999,0.589,0.52,0.607,0.557,0.59,0.522,0.5329999999999999,0.524,0.5517000000000001,0.03100983714887905
conv_re_conv_se_add,0.40700000000000003,0.365,0.40299999999999997,0.40399999999999997,0.39299999999999996,0.353,0.365,0.415,0.336,0.387,0.38280000000000003,0.02512687803926305
conv_re_conv_se_cat,0.397,0.349,0.42,0.439,0.43,0.361,0.353,0.425,0.35200000000000004,0.41600000000000004,0.39419999999999994,0.034654869787664765
rico_conv_se_add,0.505,0.461,0.48700000000000004,0.382,0.491,0.461,0.495,0.41100000000000003,0.409,0.48100000000000004,0.45830000000000004,0.04054639318114499
rico_conv_se_cat,0.49,0.503,0.48100000000000004,0.41600000000000004,0.41700000000000004,0.461,0.402,0.41100000000000003,0.39,0.44299999999999995,0.44140000000000007,0.03803997896949996
seq2seq_conv_se_add,0.445,0.45299999999999996,0.475,0.387,0.479,0.466,0.40299999999999997,0.41100000000000003,0.415,0.48100000000000004,0.4415,0.03304315360252408
