name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23_seq2seq_tree_23_add_0.3,0.381,0.395,0.392,0.399,0.42,0.381,0.393,0.381,0.389,0.392,0.39230000000000004,0.01101862060332417
rico_23_seq2seq_tree_23_add_0.4,0.379,0.411,0.428,0.431,0.382,0.378,0.464,0.391,0.434,0.411,0.4109,0.02716781183680423
rico_23_seq2seq_tree_23_add_0.5,0.406,0.426,0.404,0.446,0.469,0.426,0.45,0.456,0.444,0.353,0.42800000000000005,0.031971862629505965
rico_23_seq2seq_tree_23_add_0.6,0.412,0.473,0.451,0.435,0.458,0.418,0.388,0.436,0.444,0.435,0.43499999999999994,0.023104112188093273
rico_23_seq2seq_tree_23_add_0.7,0.376,0.412,0.427,0.423,0.39,0.456,0.425,0.396,0.411,0.379,0.4095,0.023482972554597935
rico_23_seq2seq_tree_23_add_0.8,0.314,0.317,0.374,0.358,0.335,0.374,0.374,0.343,0.29,0.342,0.3421,0.027369508581631494
rico_23_seq2seq_tree_23_add_0.9,0.257,0.251,0.208,0.281,0.271,0.23,0.198,0.224,0.245,0.241,0.2406,0.024936719912610806
rico_23_seq2seq_tree_23_cat_0.1,0.382,0.377,0.376,0.387,0.382,0.393,0.392,0.399,0.391,0.376,0.38549999999999995,0.007684399781375257
rico_23_seq2seq_tree_23_cat_0.2,0.403,0.387,0.367,0.381,0.399,0.374,0.395,0.401,0.396,0.366,0.3869,0.013367497896016305
rico_23_seq2seq_tree_23_cat_0.3,0.382,0.349,0.382,0.402,0.398,0.382,0.382,0.426,0.395,0.393,0.3891000000000001,0.01861961331499664
rico_23_seq2seq_tree_23_cat_0.4,0.393,0.427,0.378,0.431,0.381,0.433,0.458,0.4,0.414,0.381,0.4096,0.02583098914095238
rico_23_seq2seq_tree_23_cat_0.5,0.424,0.44,0.431,0.456,0.455,0.424,0.471,0.462,0.463,0.464,0.449,0.01677498137107759
rico_23_seq2seq_tree_23_cat_0.6,0.431,0.42,0.406,0.449,0.409,0.43,0.466,0.404,0.408,0.408,0.4231000000000001,0.0198567368920475
rico_23_seq2seq_tree_23_cat_0.7,0.366,0.373,0.376,0.441,0.412,0.436,0.4,0.388,0.433,0.398,0.4023,0.02601172812405973
rico_23_seq2seq_tree_23_cat_0.8,0.317,0.319,0.371,0.305,0.32,0.296,0.359,0.305,0.395,0.343,0.333,0.031019348800385867
rico_23_seq2seq_tree_23_cat_0.9,0.243,0.254,0.257,0.238,0.205,0.255,0.207,0.319,0.215,0.235,0.2428,0.031384072393492855
conv_re_23_conv_se_23_add_0.1,0.323,0.335,0.314,0.291,0.303,0.369,0.334,0.354,0.372,0.341,0.3336,0.025393700006103876
conv_re_23_conv_se_23_add_0.2,0.325,0.269,0.324,0.25,0.277,0.263,0.308,0.305,0.353,0.345,0.3019,0.033833267651824574
conv_re_23_conv_se_23_add_0.3,0.346,0.253,0.307,0.273,0.246,0.244,0.289,0.321,0.291,0.336,0.29059999999999997,0.034943382778431745
conv_re_23_conv_se_23_add_0.4,0.252,0.237,0.291,0.272,0.269,0.212,0.262,0.349,0.231,0.275,0.265,0.035810612952028614
conv_re_23_conv_se_23_add_0.5,0.251,0.221,0.287,0.276,0.245,0.199,0.242,0.345,0.244,0.243,0.25529999999999997,0.03795536852673149
conv_re_23_conv_se_23_add_0.6,0.227,0.191,0.3,0.241,0.222,0.187,0.197,0.256,0.208,0.202,0.22310000000000002,0.0331977408869941
conv_re_23_conv_se_23_add_0.7,0.236,0.201,0.26,0.255,0.199,0.175,0.167,0.257,0.182,0.209,0.2141,0.03361978584107876
conv_re_23_conv_se_23_add_0.8,0.222,0.14,0.244,0.226,0.171,0.159,0.118,0.233,0.211,0.184,0.1908,0.0406959457440173
conv_re_23_conv_se_23_add_0.9,0.219,0.156,0.186,0.205,0.15,0.178,0.11,0.212,0.162,0.12,0.1698,0.035312320796005464
conv_re_23_conv_se_23_cat_0.1,0.337,0.358,0.322,0.227,0.324,0.361,0.34,0.271,0.357,0.361,0.3258,0.04194949344151845
conv_re_23_conv_se_23_cat_0.2,0.362,0.306,0.353,0.251,0.262,0.322,0.316,0.31,0.324,0.325,0.3131,0.03295284509719911
conv_re_23_conv_se_23_cat_0.3,0.323,0.255,0.302,0.293,0.295,0.236,0.325,0.34,0.287,0.32,0.2976,0.030764264983906255
conv_re_23_conv_se_23_cat_0.4,0.27,0.235,0.315,0.232,0.227,0.193,0.293,0.302,0.253,0.272,0.25920000000000004,0.036265134771568126
conv_re_23_conv_se_23_cat_0.5,0.275,0.213,0.26,0.305,0.214,0.185,0.267,0.302,0.237,0.215,0.2473,0.038670531416053755
conv_re_23_conv_se_23_cat_0.6,0.237,0.187,0.286,0.246,0.187,0.192,0.231,0.258,0.24,0.213,0.2277,0.031151404462720453
conv_re_23_conv_se_23_cat_0.7,0.199,0.167,0.245,0.241,0.202,0.194,0.21,0.246,0.232,0.212,0.21480000000000002,0.024555243839147676
conv_re_23_conv_se_23_cat_0.8,0.215,0.134,0.243,0.2,0.207,0.184,0.161,0.25,0.184,0.2,0.1978,0.033111327366929885
conv_re_23_conv_se_23_cat_0.9,0.226,0.157,0.195,0.201,0.208,0.187,0.159,0.224,0.161,0.151,0.1869,0.026920066864701508
rico_23_conv_se_23_add_0.1,0.326,0.345,0.326,0.266,0.332,0.338,0.336,0.309,0.316,0.36,0.3254,0.024046621384302615
rico_23_conv_se_23_cat_0.1,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
seq2seq_23_conv_se_23_add_0.1,0.326,0.345,0.319,0.266,0.332,0.338,0.331,0.328,0.316,0.36,0.32609999999999995,0.02339850422569784
seq2seq_23_conv_se_23_cat_0.1,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
seq2seq_tree_23_conv_se_23_add_0.1,0.326,0.346,0.319,0.258,0.273,0.338,0.336,0.309,0.316,0.361,0.3181999999999999,0.030218537357059486
seq2seq_tree_23_conv_se_23_cat_0.1,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
rico_23_conv_se_23_add_0.2,0.326,0.345,0.326,0.254,0.333,0.338,0.336,0.309,0.316,0.36,0.3243,0.027118443908159626
rico_23_conv_se_23_cat_0.2,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
seq2seq_23_conv_se_23_add_0.2,0.296,0.345,0.319,0.257,0.332,0.336,0.331,0.328,0.316,0.369,0.3229,0.028440991543896635
seq2seq_23_conv_se_23_cat_0.2,0.326,0.345,0.326,0.266,0.273,0.338,0.336,0.309,0.316,0.36,0.3195,0.028524550829066523
