name,0,1,2,3,4,5,6,7,8,9,Mean_nk,Std_nk
rico,0.535,,,,,,,,,,0.535,0.0
seq2seq,0.549,0.532,0.548,0.559,0.539,0.519,0.544,0.514,0.563,0.572,0.5439,0.017620726432244486
tree,0.638,0.644,0.635,0.622,0.63,0.646,0.638,0.645,0.635,0.625,0.6358,0.0077948701079620375
conv_se,0.611,0.609,0.581,0.549,0.593,0.607,0.6,0.596,0.6,0.608,0.5953999999999999,0.017692936443677164
conv_re,0.507,0.435,0.469,0.472,0.461,0.468,0.46,0.473,0.449,0.484,0.4678,0.018389127222356146
rico_seq2seq_add,0.576,0.553,0.589,0.578,0.554,0.564,0.572,0.529,0.586,0.613,0.5714,0.02193718304614335
rico_seq2seq_cat,0.571,0.572,0.597,0.586,0.564,0.543,0.561,0.554,0.588,0.595,0.5730999999999999,0.01716071094098374
rico_tree_add,0.647,0.652,0.65,0.651,0.658,0.646,0.665,0.642,0.669,0.647,0.6527,0.00824681756800768
rico_tree_cat,0.661,0.645,0.645,0.657,0.65,0.657,0.638,0.639,0.663,0.656,0.6511,0.008525843066817506
conv_re_conv_se_add,0.544,0.49,0.563,0.551,0.52,0.468,0.513,0.557,0.533,0.533,0.5272000000000001,0.028683793333518497
conv_re_conv_se_cat,0.546,0.506,0.572,0.553,0.509,0.487,0.522,0.559,0.552,0.533,0.5339000000000002,0.02580871945680375
rico_conv_se_add,0.611,0.599,0.598,0.565,0.585,0.597,0.612,0.605,0.614,0.613,0.5999000000000001,0.014556441872930362
rico_conv_se_cat,0.617,0.598,0.598,0.564,0.597,0.602,0.612,0.605,0.588,0.608,0.5988999999999999,0.014038874598770384
seq2seq_conv_se_add,0.621,0.601,0.583,0.565,0.585,0.595,0.615,0.581,0.59,0.609,0.5945,0.016341664541900267
seq2seq_conv_se_cat,0.617,0.606,0.598,0.564,0.597,0.602,0.612,0.611,0.597,0.608,0.6012,0.01400571312000929
tree_conv_se_add,0.608,0.599,0.597,0.547,0.592,0.601,0.616,0.611,0.573,0.611,0.5954999999999999,0.019931131427994738
tree_conv_se_cat,0.617,0.598,0.598,0.564,0.597,0.602,0.612,0.611,0.597,0.608,0.6003999999999998,0.013937001112147488
rico_conv_re_add,0.487,0.42,0.47,0.483,0.468,0.433,0.485,0.44,0.448,0.46,0.4593999999999999,0.02217295650110738
rico_conv_re_cat,0.49,0.42,0.465,0.481,0.474,0.433,0.456,0.458,0.469,0.493,0.46390000000000003,0.022201126097565412
seq2seq_conv_re_add,0.515,0.42,0.453,0.477,0.469,0.433,0.493,0.463,0.449,0.494,0.46659999999999996,0.027771208111999738
seq2seq_conv_re_cat,0.514,0.42,0.465,0.481,0.47,0.433,0.456,0.464,0.469,0.493,0.4665,0.02567196914924915
tree_conv_re_add,0.489,0.423,0.45,0.468,0.486,0.433,0.478,0.457,0.473,0.474,0.46309999999999996,0.02093059960918463
tree_conv_re_cat,0.514,0.42,0.465,0.471,0.47,0.433,0.456,0.447,0.469,0.494,0.4638999999999999,0.02600173071162764
rico_seq2seq_add_0.1,0.548,0.525,0.521,0.55,0.529,0.532,0.546,0.51,0.547,0.565,0.5372999999999999,0.01572291321606781
rico_seq2seq_add_0.2,0.545,0.532,0.54,0.545,0.544,0.521,0.561,0.524,0.562,0.579,0.5452999999999999,0.017064876208165113
rico_seq2seq_add_0.3,0.55,0.542,0.554,0.545,0.539,0.524,0.555,0.524,0.586,0.557,0.5476000000000001,0.017001176429882716
rico_seq2seq_add_0.4,0.563,0.558,0.546,0.557,0.567,0.531,0.561,0.532,0.586,0.581,0.5582,0.01725572368809837
rico_seq2seq_add_0.5,0.576,0.553,0.589,0.578,0.554,0.564,0.572,0.529,0.586,0.613,0.5714,0.02193718304614335
rico_seq2seq_add_0.6,0.585,0.573,0.6,0.565,0.59,0.573,0.583,0.57,0.594,0.607,0.5840000000000001,0.013122499761859412
rico_seq2seq_add_0.7,0.591,0.587,0.596,0.585,0.562,0.587,0.59,0.573,0.599,0.592,0.5861999999999999,0.01045753316992108
rico_seq2seq_add_0.8,0.582,0.564,0.581,0.564,0.578,0.605,0.567,0.595,0.595,0.596,0.5826999999999999,0.013957435294494485
rico_seq2seq_add_0.9,0.541,0.552,0.523,0.563,0.537,0.549,0.555,0.551,0.539,0.541,0.5451,0.010681292056675533
rico_seq2seq_cat_0.1,0.534,0.536,0.546,0.547,0.541,0.52,0.547,0.513,0.562,0.582,0.5428000000000001,0.018669761648183937
rico_seq2seq_cat_0.2,0.549,0.544,0.542,0.545,0.528,0.524,0.545,0.498,0.568,0.567,0.541,0.019539703170723947
rico_seq2seq_cat_0.3,0.56,0.536,0.545,0.565,0.54,0.533,0.55,0.522,0.573,0.558,0.5481999999999999,0.015098344280085798
rico_seq2seq_cat_0.4,0.535,0.557,0.553,0.552,0.548,0.529,0.553,0.532,0.568,0.58,0.5507,0.015113239229232077
rico_seq2seq_cat_0.5,0.571,0.572,0.597,0.586,0.564,0.543,0.561,0.554,0.588,0.595,0.5730999999999999,0.01716071094098374
rico_seq2seq_cat_0.6,0.598,0.577,0.601,0.573,0.58,0.595,0.597,0.561,0.62,0.607,0.5909000000000001,0.01684903558070906
rico_seq2seq_cat_0.7,0.604,0.595,0.582,0.587,0.591,0.576,0.595,0.596,0.6,0.605,0.5931,0.008836854644046158
rico_seq2seq_cat_0.8,0.593,0.581,0.592,0.58,0.577,0.579,0.561,0.57,0.571,0.595,0.5799,0.010444615837837205
rico_seq2seq_cat_0.9,0.551,0.554,0.566,0.538,0.523,0.533,0.551,0.544,0.529,0.557,0.5446,0.012924395537122803
rico_tree_add_0.1,0.641,0.635,0.635,0.632,0.642,0.634,0.637,0.65,0.647,0.63,0.6383,0.006197580172938473
rico_tree_add_0.2,0.64,0.636,0.634,0.625,0.642,0.641,0.645,0.643,0.638,0.637,0.6381,0.005412023651093929
rico_tree_add_0.3,0.648,0.638,0.632,0.621,0.649,0.647,0.643,0.64,0.645,0.643,0.6406,0.00813879597975033
rico_tree_add_0.4,0.643,0.655,0.648,0.638,0.628,0.653,0.649,0.651,0.657,0.647,0.6469,0.008239538822045813
rico_tree_add_0.5,0.647,0.652,0.65,0.651,0.658,0.646,0.665,0.642,0.669,0.647,0.6527,0.00824681756800768
rico_tree_add_0.6,0.636,0.645,0.646,0.656,0.646,0.639,0.638,0.621,0.652,0.648,0.6427,0.009327915093953212
