type,eval,eval_values
seq2seq,ARI (GMM),0.309
Semantic,ARI (GMM),0.335
Real,ARI (GMM),0.21
seq2seq,ARI (KM),0.313
Semantic,ARI (KM),0.344
Real,ARI (KM),0.213
seq2seq,NMI (GMM),0.575
Semantic,NMI (GMM),0.628
Real,NMI (GMM),0.521
seq2seq,NMI (KM),0.578
Semantic,NMI (KM),0.636
Real,NMI (KM),0.525
seq2seq,Purity (GMM),0.405
Semantic,Purity (GMM),0.428
Real,Purity (GMM),0.303
seq2seq,Purity (KM),0.42
Semantic,Purity (KM),0.439
Real,Purity (KM),0.309
