List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,10.0%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,20.0%
translate,92.0%
image_view,17.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,12.5%
camera,2.5%
picture,0.0%
popup,16.7%
navigation_menu,31.1%
input_form,3.3%
select_dialog,33.3%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,34.2%
