List,dec
c12,36.7%
c13,8.6%
c18,3.3%
c21,2.6%
c6,97.1%
c3,6.7%
c1,33.3%
c23,21.1%
c5,22.5%
c17,40.0%
c11,26.7%
c2,97.5%
c7,0.0%
c16,6.7%
c15,0.0%
c10,0.0%
c20,2.6%
c14,6.7%
c9,0.0%
c19,17.6%
c22,100.0%
c8,0.0%
c4,10.0%
Total,26.9%
