List,dec
c12,6.7%
c13,40.0%
c18,23.3%
c21,23.7%
c6,40.0%
c3,0.0%
c1,90.0%
c23,7.9%
c5,5.0%
c17,6.7%
c11,26.7%
c2,37.5%
c7,100.0%
c16,10.0%
c15,3.3%
c10,0.0%
c20,10.5%
c14,35.6%
c9,100.0%
c19,41.2%
c22,97.3%
c8,0.0%
c4,10.0%
Total,32.4%
