List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,33.3%
open_with,55.6%
text_empty,53.3%
share_with,84.6%
list+on_off,0.0%
advertisement+button,90.0%
image_list,26.7%
popup_date,33.3%
movie,16.7%
menu_list,34.3%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,25.0%
camera,2.5%
picture,0.0%
popup,6.7%
navigation_menu,4.4%
input_form,16.7%
select_dialog,40.0%
calendar,0.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,30.6%
