List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,20.0%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,64.4%
popup_date,16.7%
movie,30.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,2.5%
camera,32.5%
picture,0.0%
popup,6.7%
navigation_menu,15.6%
input_form,33.3%
select_dialog,56.7%
calendar,90.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,33.4%
