List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,26.7%
open_with,0.0%
text_empty,13.3%
share_with,75.0%
list+on_off,94.3%
advertisement+button,0.0%
image_list,22.2%
popup_date,0.0%
movie,53.3%
menu_list,2.9%
translate_with_sound,29.4%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,83.3%
popup_with_continue_as_name,85.7%
list,42.5%
camera,17.5%
picture,0.0%
popup,3.3%
navigation_menu,0.0%
input_form,43.3%
select_dialog,20.0%
calendar,13.3%
text_image,0.0%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,25.5%
