List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,3.3%
open_with,48.9%
text_empty,3.3%
share_with,80.8%
list+on_off,74.3%
advertisement+button,92.5%
image_list,66.7%
popup_date,16.7%
movie,60.0%
menu_list,77.1%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,80.0%
popup_with_continue_as_name,77.1%
list,5.0%
camera,0.0%
picture,0.0%
popup,33.3%
navigation_menu,4.4%
input_form,10.0%
select_dialog,20.0%
calendar,20.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,29.4%
