List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,3.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,2.5%
image_list,20.0%
popup_date,16.7%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,6.7%
popup_with_continue_as_name,2.9%
list,47.5%
camera,0.0%
picture,53.3%
popup,6.7%
navigation_menu,4.4%
input_form,0.0%
select_dialog,6.7%
calendar,13.3%
text_image,20.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,17.9%
