List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,13.3%
open_with,17.8%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,85.0%
image_list,0.0%
popup_date,0.0%
movie,0.0%
menu_list,2.9%
translate_with_sound,5.9%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,15.0%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,73.3%
popup_with_continue_as_name,65.7%
list,22.5%
camera,2.5%
picture,0.0%
popup,10.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,23.3%
calendar,66.7%
text_image,16.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,30.7%
