List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,3.3%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,25.0%
image_list,44.4%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,47.1%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,25.0%
camera,0.0%
picture,0.0%
popup,20.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,3.3%
calendar,90.0%
text_image,6.7%
continue_button,14.3%
theme,0.0%
homescreen,0.0%
Total,31.6%
