List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,23.3%
open_with,2.2%
text_empty,3.3%
share_with,76.9%
list+on_off,20.0%
advertisement+button,0.0%
image_list,64.4%
popup_date,66.7%
movie,3.3%
menu_list,40.0%
translate_with_sound,47.1%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,22.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,5.0%
camera,57.5%
picture,53.3%
popup,6.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,60.0%
calendar,50.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,29.5%
