List,dec
text+button,5.6%
popup_with_access,73.3%
text_only,63.3%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,2.9%
advertisement+button,70.0%
image_list,2.2%
popup_date,0.0%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,27.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,73.3%
popup_with_continue_as_name,80.0%
list,0.0%
camera,57.5%
picture,53.3%
popup,50.0%
navigation_menu,31.1%
input_form,3.3%
select_dialog,60.0%
calendar,13.3%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,37.6%
