List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,26.7%
open_with,0.0%
text_empty,40.0%
share_with,94.2%
list+on_off,37.1%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,0.0%
camera,0.0%
picture,53.3%
popup,3.3%
navigation_menu,4.4%
input_form,36.7%
select_dialog,46.7%
calendar,6.7%
text_image,6.7%
continue_button,2.4%
theme,95.5%
homescreen,20.0%
Total,31.4%
